Item,Estimated_Cost,Actual_Cost,Budget
Packaging,6386,1370,50000
Logistics,6287,2174,50000
Transport,9887,5088,50000
Raw Materials,5617,7790,50000
Labor,3384,8218,50000
Labor,7796,5780,50000
Logistics,4605,5547,50000
Raw Materials,8033,2071,50000
Transport,7747,4454,50000
Packaging,9844,4150,50000
Packaging,8936,7468,50000
Raw Materials,1758,4263,50000
Maintenance,2279,2770,50000
Marketing,1441,1945,50000
Utilities,7228,3952,50000
Maintenance,8716,9235,50000
Packaging,5193,3264,50000
Marketing,4970,2727,50000
Utilities,2526,6073,50000
Utilities,1190,2034,50000
Utilities,2873,1568,50000
Labor,8958,1104,50000
Logistics,8368,4664,50000
Utilities,8489,9812,50000
Transport,8868,3902,50000
Raw Materials,9449,3054,50000
Packaging,9346,3689,50000
Transport,6606,3709,50000
Raw Materials,4902,5343,50000
Maintenance,7660,4968,50000
Logistics,9085,2633,50000
Maintenance,3412,9228,50000
Raw Materials,1023,7794,50000
Transport,7624,5668,50000
Raw Materials,8958,5749,50000
Utilities,2741,7727,50000
Labor,4160,1878,50000
Packaging,4371,4334,50000
Maintenance,4351,3638,50000
Packaging,1460,2448,50000
Labor,3117,1739,50000
Utilities,7356,6325,50000
Utilities,2606,7845,50000
Maintenance,1071,8971,50000
Maintenance,7351,2150,50000
Utilities,1706,8245,50000
Marketing,2928,1352,50000
Packaging,3798,6689,50000
Logistics,9345,6878,50000
Labor,1029,5283,50000
Packaging,6071,5686,50000
Labor,4311,1229,50000
Marketing,7787,1320,50000
Logistics,2874,3533,50000
Transport,9428,4738,50000
Labor,9809,7662,50000
Packaging,2571,9384,50000
Raw Materials,8213,7987,50000
Logistics,3437,1808,50000
Utilities,8531,2833,50000
Utilities,1581,5514,50000
Marketing,3254,7024,50000
Labor,6852,1816,50000
Transport,1600,7549,50000
Labor,9706,3363,50000
Utilities,1809,3426,50000
Maintenance,3485,1894,50000
Raw Materials,8398,7017,50000
Logistics,2446,3974,50000
Marketing,1468,8205,50000
Maintenance,1629,5740,50000
Packaging,4382,3247,50000
Transport,7538,1571,50000
Maintenance,1113,6727,50000
Packaging,2225,2145,50000
Maintenance,6483,4299,50000
Transport,2616,6664,50000
Logistics,4317,7751,50000
Maintenance,8351,4345,50000
Marketing,8580,6379,50000
Utilities,7416,7315,50000
Labor,5640,7381,50000
Maintenance,6733,2394,50000
Marketing,6618,8777,50000
Labor,5813,3160,50000
Logistics,3537,5260,50000
Packaging,4174,4471,50000
Labor,8974,8909,50000
Packaging,3222,4978,50000
Maintenance,9021,7770,50000
Marketing,1051,7744,50000
Utilities,3344,9495,50000
Maintenance,6064,8122,50000
Packaging,7486,1071,50000
Transport,6830,6765,50000
Labor,5695,6378,50000
Maintenance,5266,4768,50000
Packaging,2658,2664,50000
Logistics,8368,8938,50000
Labor,6183,9982,50000
Logistics,6621,8835,50000
Packaging,5010,8151,50000
Marketing,1635,1594,50000
Raw Materials,7421,6004,50000
Logistics,1174,2261,50000
Maintenance,9759,5380,50000
Utilities,7156,7518,50000
Maintenance,8707,3432,50000
Labor,8009,6690,50000
Marketing,3143,5544,50000
Packaging,7999,5305,50000
Transport,2474,8710,50000
Utilities,6244,5417,50000
Marketing,8248,6378,50000
Logistics,5102,4757,50000
Logistics,1329,8595,50000
Maintenance,3673,4240,50000
Transport,5622,5620,50000
Marketing,6232,5617,50000
Raw Materials,7583,6553,50000
Utilities,1889,7566,50000
Labor,9021,9143,50000
Marketing,9953,1938,50000
Marketing,2680,1340,50000
Raw Materials,6951,8977,50000
Maintenance,7866,5474,50000
Packaging,1133,8556,50000
Packaging,7064,5622,50000
Utilities,2125,1905,50000
Utilities,3039,5608,50000
Labor,5188,7473,50000
Marketing,3849,8518,50000
Transport,4366,5123,50000
Marketing,3911,6156,50000
Packaging,3591,6978,50000
Labor,5283,6685,50000
Marketing,5261,7774,50000
Raw Materials,8134,5490,50000
Packaging,1244,9484,50000
Marketing,6128,8829,50000
Marketing,5925,1969,50000
Packaging,7831,7699,50000
Transport,2778,2668,50000
Packaging,7310,3302,50000
Raw Materials,9628,4279,50000
Raw Materials,7334,2207,50000
Marketing,6906,9594,50000
Utilities,9985,2038,50000
Transport,9641,3354,50000
Marketing,8668,6272,50000
Packaging,2954,8860,50000
Marketing,9806,4243,50000
Labor,8393,6619,50000
Labor,9930,1805,50000
Utilities,2631,6165,50000
Transport,6036,5198,50000
Maintenance,4665,9942,50000
Logistics,9260,9815,50000
Labor,7874,3875,50000
Maintenance,1869,4835,50000
Raw Materials,4191,4610,50000
Labor,4119,2492,50000
Labor,3115,8457,50000
Transport,8252,6441,50000
Utilities,1376,7792,50000
Maintenance,2941,4895,50000
Packaging,1204,7495,50000
Labor,9936,9777,50000
Labor,8054,3773,50000
Transport,6948,1900,50000
Transport,8246,1160,50000
Utilities,5420,9016,50000
Maintenance,3425,4541,50000
Raw Materials,4973,8122,50000
Packaging,1670,2724,50000
Utilities,4417,1930,50000
Logistics,4065,4307,50000
Raw Materials,2727,1594,50000
Marketing,6976,7377,50000
Labor,5026,5635,50000
Maintenance,8862,9324,50000
Utilities,7064,2385,50000
Labor,4814,8760,50000
Maintenance,2703,4754,50000
Maintenance,8621,5589,50000
Maintenance,8430,9465,50000
Labor,5541,5616,50000
Utilities,1053,2715,50000
Packaging,1691,4082,50000
Transport,7066,4523,50000
Labor,9448,8681,50000
Logistics,4432,8569,50000
Maintenance,1833,3404,50000
Utilities,6794,1437,50000
Packaging,4522,7390,50000
Marketing,9664,2473,50000
Logistics,6860,1344,50000
Raw Materials,3026,8401,50000
Logistics,4548,1146,50000
Maintenance,1905,5678,50000
Marketing,7364,4725,50000
Transport,2183,9448,50000
Packaging,2088,7944,50000
Packaging,2192,8329,50000
Maintenance,3128,9079,50000
Logistics,6387,4934,50000
Logistics,4451,5216,50000
Packaging,1331,3237,50000
Marketing,2048,9210,50000
Maintenance,3275,8067,50000
Labor,6237,7090,50000
Utilities,7385,7938,50000
Marketing,2634,7054,50000
Utilities,8648,9687,50000
Labor,1502,9780,50000
Labor,4569,5423,50000
Utilities,8316,9216,50000
Marketing,5647,9872,50000
Utilities,5018,8803,50000
Utilities,5216,3003,50000
Raw Materials,6891,7611,50000
Marketing,6231,1297,50000
Logistics,9214,6022,50000
Logistics,8848,3703,50000
Raw Materials,8431,7519,50000
Maintenance,1479,4586,50000
Packaging,3354,5445,50000
Logistics,5864,8514,50000
Utilities,2143,3549,50000
Maintenance,3333,6355,50000
Logistics,6083,5372,50000
Marketing,8952,1182,50000
Utilities,8574,8768,50000
Packaging,6271,1522,50000
Maintenance,3645,1610,50000
Logistics,6444,5134,50000
Logistics,7067,9753,50000
Transport,1838,3843,50000
Logistics,8413,3067,50000
Labor,9191,2702,50000
Utilities,6035,2918,50000
Packaging,3209,2735,50000
Labor,6048,9126,50000
Raw Materials,2959,1211,50000
Maintenance,1275,3927,50000
Logistics,5624,8025,50000
Raw Materials,2841,6419,50000
Packaging,5145,3984,50000
Utilities,6675,7739,50000
Labor,8057,8176,50000
Labor,9181,9564,50000
Maintenance,1487,1460,50000
Utilities,3127,2061,50000
Logistics,6405,2493,50000
Transport,7704,3171,50000
Transport,8265,4933,50000
Maintenance,6597,4620,50000
Utilities,2940,2321,50000
Maintenance,8735,6194,50000
Utilities,5350,6775,50000
Packaging,1959,7182,50000
Packaging,7630,9060,50000
Raw Materials,6792,4697,50000
Logistics,3563,4757,50000
Maintenance,1463,3861,50000
Logistics,8671,6651,50000
Utilities,9207,3335,50000
Transport,1918,8455,50000
Logistics,7087,7774,50000
Utilities,2613,5272,50000
Packaging,3120,1302,50000
Utilities,4391,4175,50000
Maintenance,2881,3550,50000
Raw Materials,9931,9968,50000
Raw Materials,8362,2965,50000
Raw Materials,6001,4449,50000
Raw Materials,8256,8301,50000
Packaging,4843,4789,50000
Marketing,9989,1727,50000
Logistics,7129,3553,50000
Maintenance,4210,2744,50000
Labor,6516,3640,50000
Maintenance,3531,7379,50000
Marketing,6487,4439,50000
Raw Materials,5553,2209,50000
Marketing,3279,7009,50000
Transport,8305,6936,50000
Transport,6556,2761,50000
Logistics,1154,7348,50000
Packaging,4665,7285,50000
Maintenance,7727,6699,50000
Maintenance,2114,5477,50000
Labor,1699,3007,50000
Packaging,8565,3911,50000
Labor,7955,3061,50000
Transport,8109,8509,50000
Raw Materials,9787,8888,50000
Marketing,2013,8986,50000
Labor,9731,5468,50000
Utilities,1011,4841,50000
Labor,8474,6296,50000
Raw Materials,5459,6382,50000
Raw Materials,1661,3786,50000
Maintenance,5633,3189,50000
Marketing,8381,5627,50000
Raw Materials,6574,2932,50000
Packaging,6871,9504,50000
Labor,1579,7392,50000
Labor,9453,1176,50000
Transport,1495,2771,50000
Raw Materials,5225,4204,50000
Utilities,6934,7067,50000
Maintenance,3136,6549,50000
Marketing,6063,2850,50000
Utilities,6451,6722,50000
Maintenance,9821,7414,50000
Labor,9697,3785,50000
Utilities,8297,3897,50000
Maintenance,1206,4843,50000
Labor,4130,4820,50000
Labor,2854,2236,50000
Labor,6578,4793,50000
Labor,6264,3867,50000
Packaging,8477,9109,50000
Labor,2660,4777,50000
Transport,9084,5507,50000
Utilities,8548,6371,50000
Maintenance,5979,5945,50000
Transport,6046,3275,50000
Packaging,9476,7228,50000
Logistics,1718,6891,50000
Logistics,9693,2615,50000
Transport,1257,6393,50000
Raw Materials,5905,2813,50000
Raw Materials,3597,9474,50000
Raw Materials,9012,7951,50000
Marketing,7798,5259,50000
Raw Materials,4013,8026,50000
Maintenance,6224,1130,50000
Transport,5617,2099,50000
Maintenance,6064,6694,50000
Utilities,1887,3418,50000
Raw Materials,8281,1349,50000
Packaging,1744,6001,50000
Marketing,8236,4732,50000
Utilities,4436,7053,50000
Packaging,6163,9211,50000
Marketing,2704,8572,50000
Logistics,9402,1402,50000
Utilities,5064,4719,50000
Logistics,6226,5521,50000
Transport,2956,9981,50000
Maintenance,2702,4693,50000
Labor,5214,2651,50000
Maintenance,9677,9553,50000
Raw Materials,3501,8804,50000
Logistics,6127,8666,50000
Packaging,5607,9060,50000
Labor,7537,3887,50000
Marketing,5056,8421,50000
Logistics,1197,8727,50000
Transport,8631,3257,50000
Transport,5963,8923,50000
Logistics,8968,7170,50000
Logistics,2315,3164,50000
Logistics,7296,1426,50000
Marketing,9102,3245,50000
Raw Materials,5862,9347,50000
Marketing,4341,6245,50000
Utilities,8747,4228,50000
Packaging,9448,9593,50000
Logistics,3562,9810,50000
Packaging,2667,4373,50000
Raw Materials,7314,1824,50000
Labor,7413,5088,50000
Marketing,3648,4811,50000
Raw Materials,6734,3057,50000
Packaging,9828,7417,50000
Labor,9199,7440,50000
Marketing,2579,5660,50000
Transport,8615,9204,50000
Marketing,1134,3710,50000
Maintenance,5120,2319,50000
Marketing,3512,3353,50000
Maintenance,7105,2564,50000
Labor,7847,7877,50000
Marketing,9048,7841,50000
Labor,7545,3345,50000
Labor,7032,7166,50000
Packaging,2232,7913,50000
Raw Materials,1907,1717,50000
Labor,6653,8463,50000
Labor,6158,5470,50000
Packaging,6926,8061,50000
Packaging,5089,3349,50000
Marketing,9810,9551,50000
Packaging,8779,7371,50000
Marketing,6903,9906,50000
Transport,8090,1877,50000
Packaging,3844,3550,50000
Raw Materials,5301,2513,50000
Labor,9888,1398,50000
Raw Materials,5303,2255,50000
Maintenance,9596,1302,50000
Logistics,8549,6458,50000
Packaging,5962,5411,50000
Labor,1857,2607,50000
Raw Materials,3392,1894,50000
Packaging,7771,4856,50000
Packaging,8559,9484,50000
Logistics,5282,5463,50000
Transport,1019,5887,50000
Transport,6457,9784,50000
Labor,3420,7798,50000
Maintenance,8923,2943,50000
Transport,1066,4862,50000
Logistics,4133,4797,50000
Transport,1785,9381,50000
Maintenance,7765,8372,50000
Raw Materials,8735,2776,50000
Transport,3132,1446,50000
Logistics,2418,9971,50000
Marketing,4690,5194,50000
Logistics,2547,4967,50000
Utilities,1358,9539,50000
Utilities,2562,1438,50000
Transport,5386,4799,50000
Raw Materials,3177,4430,50000
Packaging,4810,8048,50000
Raw Materials,1478,6994,50000
Logistics,1647,6559,50000
Labor,7675,6808,50000
Marketing,1263,8617,50000
Raw Materials,8102,6049,50000
Maintenance,9003,9955,50000
Logistics,4742,6992,50000
Marketing,7646,3955,50000
Utilities,6200,6148,50000
Logistics,3005,6860,50000
Marketing,4140,6619,50000
Maintenance,1129,8315,50000
Transport,4718,4690,50000
Maintenance,1814,1695,50000
Maintenance,6849,3536,50000
Transport,6606,9854,50000
Transport,1014,8329,50000
Transport,6305,1771,50000
Transport,4488,3527,50000
Transport,9898,7677,50000
Maintenance,1702,7151,50000
Labor,5841,3790,50000
Labor,7575,3397,50000
Logistics,5131,3161,50000
Raw Materials,5842,8304,50000
Labor,7160,6977,50000
Utilities,7657,1425,50000
Labor,7492,1122,50000
Maintenance,6499,5149,50000
Transport,3555,2432,50000
Logistics,4939,7241,50000
Transport,5951,2114,50000
Packaging,4338,9690,50000
Packaging,9708,6060,50000
Packaging,1797,1395,50000
Maintenance,9676,3311,50000
Utilities,4674,5439,50000
Labor,9634,6888,50000
Maintenance,7521,9984,50000
Raw Materials,2653,3860,50000
Logistics,9764,1174,50000
Transport,7681,6309,50000
Packaging,6999,3262,50000
Marketing,1815,4491,50000
Raw Materials,7967,1039,50000
Packaging,2210,4290,50000
Utilities,4134,3412,50000
Raw Materials,6455,4808,50000
Maintenance,1554,8352,50000
Labor,3792,8562,50000
Transport,6865,5789,50000
Logistics,7218,2406,50000
Utilities,7908,3975,50000
Utilities,5302,7871,50000
Marketing,8852,5797,50000
Raw Materials,2264,5451,50000
Marketing,7819,9998,50000
Labor,3304,2147,50000
Packaging,4958,6243,50000
Labor,6536,6798,50000
Packaging,2817,1716,50000
Marketing,1766,4235,50000
Transport,1572,6226,50000
Labor,5463,6475,50000
Marketing,6320,4950,50000
Raw Materials,8748,9427,50000
Marketing,1750,1022,50000
Marketing,3811,1741,50000
Maintenance,5456,9476,50000
Labor,8354,7807,50000
Logistics,4554,9384,50000
Transport,3418,5978,50000
Transport,6140,3083,50000
Maintenance,6036,9937,50000
Packaging,3988,8703,50000
Utilities,1854,7566,50000
Packaging,3850,7303,50000
Transport,4379,4838,50000
Marketing,1193,5793,50000
Maintenance,9938,4637,50000
Raw Materials,5961,8071,50000
Labor,5740,5860,50000
Labor,6632,9457,50000
Logistics,9341,4275,50000
Labor,8983,7907,50000
Marketing,8149,7525,50000
Raw Materials,6753,1820,50000
Maintenance,5897,8410,50000
Maintenance,7969,3858,50000
Labor,6332,8296,50000
Raw Materials,7534,2318,50000
Raw Materials,9120,7321,50000
Raw Materials,6790,9171,50000
Transport,1673,9584,50000
Transport,4701,4447,50000
Labor,2360,7140,50000
Raw Materials,4067,7362,50000
Utilities,2444,2627,50000
Raw Materials,6487,9215,50000
Maintenance,6179,4515,50000
Maintenance,4353,7397,50000
Labor,7380,2939,50000
Utilities,7781,3912,50000
Raw Materials,7060,8709,50000
Packaging,8212,6570,50000
Utilities,6919,7802,50000
Logistics,6860,7292,50000
Labor,2770,6430,50000
Maintenance,6910,8589,50000
Packaging,1194,6640,50000
Maintenance,9766,7193,50000
Transport,6854,9086,50000
Labor,6914,6846,50000
Labor,5686,4369,50000
Raw Materials,5643,9079,50000
Raw Materials,9580,5574,50000
Transport,8874,6545,50000
Packaging,2752,7811,50000
Logistics,1660,6060,50000
Marketing,6615,4737,50000
Utilities,3832,1435,50000
Marketing,9488,1090,50000
Marketing,6613,1988,50000
Labor,7970,2871,50000
Utilities,7870,5103,50000
Labor,1330,2857,50000
Logistics,7777,4456,50000
Utilities,6401,7483,50000
Maintenance,7915,3014,50000
Labor,4866,7833,50000
Labor,7113,5687,50000
Labor,8426,1815,50000
Packaging,2585,2986,50000
Transport,3940,9170,50000
Labor,7289,6195,50000
Logistics,7405,7520,50000
Raw Materials,2502,3126,50000
Raw Materials,1745,6792,50000
Utilities,3612,2562,50000
Maintenance,2508,4249,50000
Transport,2770,7487,50000
Packaging,2961,8770,50000
Utilities,8751,2138,50000
Raw Materials,4658,8262,50000
Transport,7977,4581,50000
Transport,7609,2049,50000
Maintenance,1465,1252,50000
Logistics,3069,3197,50000
Transport,3443,3497,50000
Labor,9336,5495,50000
Transport,7563,4352,50000
Maintenance,8516,3390,50000
Utilities,4048,4619,50000
Maintenance,5042,5080,50000
Packaging,5139,2293,50000
Maintenance,5202,7951,50000
Raw Materials,7124,3604,50000
Labor,8773,6076,50000
Logistics,2287,9604,50000
Raw Materials,9301,9183,50000
Utilities,8503,4886,50000
Marketing,5819,7626,50000
Utilities,3790,7775,50000
Labor,1861,6844,50000
Transport,9652,3251,50000
Maintenance,2104,7779,50000
Marketing,6374,9629,50000
Labor,1743,4681,50000
Raw Materials,3410,4254,50000
Maintenance,5993,4526,50000
Utilities,9634,6380,50000
Raw Materials,2833,7882,50000
Labor,1885,6080,50000
Labor,4604,7237,50000
Utilities,6357,7087,50000
Marketing,8089,3149,50000
Utilities,4221,8323,50000
Transport,9343,4873,50000
Raw Materials,7937,7750,50000
Marketing,2596,8926,50000
Maintenance,3492,6972,50000
Packaging,9923,7359,50000
Transport,5333,5876,50000
Marketing,1538,2288,50000
Packaging,9163,6998,50000
Packaging,1768,1048,50000
Raw Materials,3856,4176,50000
Labor,7905,1631,50000
Maintenance,3121,9144,50000
Utilities,6553,4762,50000
Raw Materials,1013,5274,50000
Transport,5707,8690,50000
Logistics,5490,7036,50000
Packaging,9382,3016,50000
Transport,6993,7961,50000
Packaging,3864,2478,50000
Labor,8605,3920,50000
Logistics,5102,2240,50000
Labor,2104,8176,50000
Maintenance,3812,9746,50000
Utilities,7131,5773,50000
Maintenance,1651,4764,50000
Labor,7628,9891,50000
Labor,8831,9431,50000
Transport,1801,9375,50000
Labor,5544,1752,50000
Logistics,7428,4475,50000
Logistics,5140,7361,50000
Marketing,2552,2316,50000
Packaging,3792,9611,50000
Raw Materials,3723,6749,50000
Labor,6576,9006,50000
Maintenance,3022,7858,50000
Utilities,5670,7058,50000
Packaging,5188,9567,50000
Packaging,1603,7007,50000
Utilities,8028,1820,50000
Utilities,8150,6815,50000
Packaging,7896,5290,50000
Marketing,9518,3411,50000
Maintenance,6962,1546,50000
Marketing,8978,1384,50000
Labor,3775,6088,50000
Raw Materials,4639,3073,50000
Utilities,9782,4946,50000
Logistics,2438,5719,50000
Maintenance,1850,7754,50000
Utilities,1439,3236,50000
Marketing,8800,6756,50000
Transport,7857,9551,50000
Labor,7575,2402,50000
Raw Materials,3908,5268,50000
Labor,6193,3639,50000
Transport,2257,5713,50000
Raw Materials,2544,9290,50000
Transport,2905,2101,50000
Labor,2815,4986,50000
Marketing,3276,1436,50000
Packaging,2450,1921,50000
Labor,4544,1911,50000
Labor,5906,4101,50000
Labor,4634,2992,50000
Maintenance,6848,8820,50000
Transport,9365,4174,50000
Logistics,2122,1064,50000
Transport,8284,1230,50000
Utilities,6352,9833,50000
Transport,3176,7433,50000
Utilities,5837,6289,50000
Maintenance,7333,6542,50000
Marketing,7311,4039,50000
Utilities,1290,7345,50000
Labor,8508,1734,50000
Marketing,2418,7187,50000
Packaging,6593,8667,50000
Maintenance,6310,3863,50000
Transport,2988,6615,50000
Utilities,9759,9009,50000
Logistics,6638,2551,50000
Labor,6170,6847,50000
Raw Materials,4038,4183,50000
Packaging,3303,9461,50000
Raw Materials,1308,9028,50000
Marketing,3138,7094,50000
Transport,3196,1469,50000
Logistics,1461,6944,50000
Raw Materials,4820,1069,50000
Marketing,8959,3170,50000
Maintenance,5732,4674,50000
Marketing,1645,9028,50000
Packaging,7014,5332,50000
Logistics,4268,4291,50000
Logistics,8915,5151,50000
Marketing,1815,9797,50000
Packaging,2905,9003,50000
Marketing,9040,3747,50000
Logistics,5898,3098,50000
Logistics,4204,6247,50000
Labor,2129,2250,50000
Marketing,2797,1904,50000
Utilities,4414,6040,50000
Marketing,3484,4363,50000
Logistics,7223,2288,50000
Labor,8723,2311,50000
Labor,1688,1749,50000
Maintenance,9767,6944,50000
Packaging,7431,1345,50000
Transport,7001,8211,50000
Raw Materials,8099,1884,50000
Raw Materials,7421,6443,50000
Marketing,8038,2343,50000
Maintenance,3839,8262,50000
Marketing,4074,3700,50000
Raw Materials,3525,2711,50000
Packaging,3017,1627,50000
Logistics,4378,6547,50000
Packaging,9278,2455,50000
Packaging,4097,4783,50000
Labor,8524,9162,50000
Logistics,7448,1063,50000
Transport,2277,3429,50000
